belongs_to_collection,budget,genres,id,imdb_id,original_language,overview,popularity,poster_path,production_companies,production_countries,release_date,revenue,runtime,spoken_languages,status,tagline,title,vote_average,vote_count
,0,"[{'id': 28, 'name': 'Action'}, {'id': 53, 'name': 'Thriller'}]",32631,tt0113360,en,A businessman on a trip to Tokyo ends up in the middle of a centuries old feud between a criminal Ninja cult and a Samurai when he witnesses a assassination performed by the Ninja-cult leader.,2.756986,/llu5wgQGYyMVDnz4p8ds8Um3lUa.jpg,"[{'name': 'Universal Pictures', 'id': 33}, {'name': 'Bregman/Baer Productions', 'id': 11393}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",2/24/95,0,106,"[{'iso_639_1': 'en', 'name': 'English'}, {'iso_639_1': 'fr', 'name': 'Français'}, {'iso_639_1': 'de', 'name': 'Deutsch'}]",Released,He's trapped in a world where killing is an art and revenge is an obsession,The Hunted,6,25
,60000000,"[{'id': 35, 'name': 'Comedy'}, {'id': 10751, 'name': 'Family'}, {'id': 10749, 'name': 'Romance'}]",6280,tt0110216,en,"As part of a fertility research project, a male scientist agrees to carry a pregnancy in his own body.",6.710215,/bwt2hkLGKo5KAVMCw4u1umUPhax.jpg,"[{'name': 'Universal Pictures', 'id': 33}, {'name': 'Northern Lights Entertainment', 'id': 8816}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",11/22/94,37000000,109,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,Nothing is inconceivable,Junior,4.7,381
,0,"[{'id': 12, 'name': 'Adventure'}, {'id': 35, 'name': 'Comedy'}, {'id': 10751, 'name': 'Family'}]",11008,tt0110443,en,"Major Benson Winifred Payne is being discharged from the Marines. Payne is a killin' machine, but the wars of the world are no longer fought on the battlefield. A career Marine, he has no idea what to do as a civilian, so his commander finds him a job - commanding officer of a local school's JROTC program, a bunch of ragtag losers with no hope.",9.253362,/tCgBOpglqgg478AIy9wYfZ7choY.jpg,"[{'name': 'Universal Pictures', 'id': 33}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",3/24/95,0,95,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,He's looking for a few good men... or a few guys old enough to shave.,Major Payne,6.1,164
"{'id': 115142, 'name': 'Tales from the Crypt Collection', 'poster_path': '/mjP1Ktqz3VCyX2akRAIjgxaALwx.jpg', 'backdrop_path': '/o9Nll2BovcZ9EDmBBMmnHx99wP4.jpg'}",0,"[{'id': 27, 'name': 'Horror'}, {'id': 35, 'name': 'Comedy'}, {'id': 53, 'name': 'Thriller'}]",9059,tt0114608,en,A man on the run is hunted by a demon known as the Collector.,9.455342,/8uD5yk0ECebJ59lhvhTBKhUojc.jpg,"[{'name': 'Universal Pictures', 'id': 33}, {'name': 'Tales From The Crypt Holdings', 'id': 69626}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",1/13/95,0,92,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,Ready for your deadtime story?,Tales from the Crypt: Demon Knight,6.7,96
,0,"[{'id': 53, 'name': 'Thriller'}, {'id': 27, 'name': 'Horror'}, {'id': 878, 'name': 'Science Fiction'}]",12122,tt0114852,en,"An American village is visited by some unknown life form which leaves the women of the village pregnant. Nine months later, the babies are born, and they all look normal, but it doesn't take the ""parents"" long to realize that the kids are not human or humane.",6.529879,/iwmI6kZWPJ9TYC4PJ0fi80TNFx5.jpg,"[{'name': 'Universal Pictures', 'id': 33}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",4/28/95,0,99,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,Beware the Children,Village of the Damned,5.6,165
,0,"[{'id': 18, 'name': 'Drama'}]",19855,tt0111667,en,The son of a Vietnam War Veteran must deal with neighborhood bullies as well as his dad's post-traumatic stress disorder while growing up in the deep south in the 1970's.,3.908596,/neSgQuAS2zWZeqfHHNv41IEuR6v.jpg,"[{'name': 'Universal Pictures', 'id': 33}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",11/4/94,0,126,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,,The War,6.3,39
,0,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}]",34152,tt0109504,en,"From Spike Lee comes this vibrant semi-autobiographical portrait of a school-teacher, her stubborn jazz-musician husband and their five kids living in '70s Brooklyn.",2.533022,/iFqe07F78SO0SIBzWcK4I5MwNvP.jpg,"[{'name': 'Universal Pictures', 'id': 33}, {'name': '40 Acres & A Mule Filmworks', 'id': 4319}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",5/13/94,0,115,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,,Crooklyn,6.7,31
"{'id': 351684, 'name': 'The Flintstones (Live-Action) Collection', 'poster_path': '/v70Luw2mGhib4s0Osw7Ux8rQgBt.jpg', 'backdrop_path': '/qD0rip0E8EcRcjCPcdu5wUknLZJ.jpg'}",46000000,"[{'id': 14, 'name': 'Fantasy'}, {'id': 35, 'name': 'Comedy'}, {'id': 10751, 'name': 'Family'}]",888,tt0109813,en,Modern Stone Age family the Flintstones hit the big screen in this live-action version of the classic cartoon. Fred helps Barney adopt a child. Barney sees an opportunity to repay him when Slate Mining tests its employees to find a new executive. But no good deed goes unpunished.,15.019586,/dnYXJZgstixBsOjF4JJrPCDRd2n.jpg,"[{'name': 'Universal Pictures', 'id': 33}, {'name': 'Amblin Entertainment', 'id': 56}, {'name': 'Hanna-Barbera Productions', 'id': 1353}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",5/26/94,341631208,91,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,Yabba-Dabba-Doo!,The Flintstones,5,559
,6000000,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}]",12280,tt0110771,en,"Henry Hackett is the editor of a New York City tabloid. He is a workaholic who loves his job, but the long hours and low pay are leading to discontent. Also, publisher Bernie White faces financial straits, and has hatchetman Alicia Clark, Henry's nemesis, impose unpopular cutbacks.",4.006063,/3FMfcgvjwgmyoT6Pp89wALzSUHT.jpg,"[{'name': 'Imagine Entertainment', 'id': 23}, {'name': 'Universal Pictures', 'id': 33}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",3/18/94,0,112,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,"A behind-the-lines look at work, marriage and other forms of combat.",The Paper,6.1,40
,11500000,"[{'id': 18, 'name': 'Drama'}]",2788,tt0110950,en,"A small circle of friends suffering from post-collegiate blues must confront the hard truth about life, love and the pursuit of gainful employment. As they struggle to map out survival guides for the future, the Gen-X quartet soon begins to realize that reality isn't all it's cracked up to be.",6.514592,/gbi7dmxPNVqJQpKnHOpZ9dmeWAO.jpg,"[{'name': 'Universal Pictures', 'id': 33}, {'name': 'Jersey Films', 'id': 216}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",2/18/94,20079850,99,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,A comedy about love in the '90s,Reality Bites,6.5,180
,45000000,"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 80, 'name': 'Crime'}, {'id': 53, 'name': 'Thriller'}]",8987,tt0110997,en,"While on a family vacation,  rafting expert Gail takes on a pair of armed killers while navigating a spectacularly violent river.",10.511241,/8NFAQxZud5Kisw1sd9WxfBG54.jpg,"[{'name': 'Universal Pictures', 'id': 33}, {'name': 'David Foster Productions', 'id': 496}, {'name': 'Turman-Foster Company', 'id': 662}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",9/30/94,0,111,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,The vacation is over,The River Wild,6.1,214
"{'id': 170452, 'name': 'Timecop Collection', 'poster_path': '/7MzxlFFswI2OB7PifjnyMrrYke5.jpg', 'backdrop_path': '/mIqsp7AFmyTYjJ4N9qv3FhAUz60.jpg'}",27000000,"[{'id': 53, 'name': 'Thriller'}, {'id': 878, 'name': 'Science Fiction'}, {'id': 28, 'name': 'Action'}, {'id': 80, 'name': 'Crime'}]",8831,tt0111438,en,"An officer for a security agency that regulates time travel, must fend for his life against a shady politician who has a tie to his past.",8.907074,/jCuhVKfj0vvR7iH8D5Aa0Q1ZX8e.jpg,"[{'name': 'Universal Pictures', 'id': 33}, {'name': 'Renaissance Pictures', 'id': 467}, {'name': 'Dark Horse Entertainment', 'id': 552}, {'name': 'Largo Entertainment', 'id': 1644}, {'name': 'Signature Pictures', 'id': 2982}, {'name': 'JVC Entertainment Networks', 'id': 4248}]","[{'iso_3166_1': 'JP', 'name': 'Japan'}, {'iso_3166_1': 'US', 'name': 'United States of America'}]",9/15/94,101646581,99,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,They killed his wife ten years ago. There's still time to save her. Murder is forever... until now.,Timecop,5.5,288
"{'id': 261203, 'name': 'Street Fighter', 'poster_path': '/srmcIOxfqARcnHmgHLVNzzFM2RV.jpg', 'backdrop_path': '/u5w0uNoQDqUkmErqMsh4RVVOgyy.jpg'}",35000000,"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 53, 'name': 'Thriller'}]",11667,tt0111301,en,Col. Guile and various other martial arts heroes fight against the tyranny of Dictator M. Bison and his cohorts.,13.58449,/1Q5YdK91oJBXJcbCuZhKXeY4vP1.jpg,"[{'name': 'Universal Pictures', 'id': 33}, {'name': 'Capcom', 'id': 7220}]","[{'iso_3166_1': 'JP', 'name': 'Japan'}, {'iso_3166_1': 'US', 'name': 'United States of America'}]",12/22/94,99423521,102,"[{'iso_639_1': 'en', 'name': 'English'}, {'iso_639_1': 'ja', 'name': '日本語'}]",Released,The fight to save the world is on!,Street Fighter,4.1,330
,30000000,"[{'id': 28, 'name': 'Action'}, {'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}]",6075,tt0106519,en,"A Puerto-Rican ex-con, just released from prison, pledges to stay away from drugs and violence despite the pressure around him and lead on to a better life outside of NYC.",8.698509,/tGPqPHuOCbyFxwllrYgKkPDu9xB.jpg,"[{'name': 'Universal Pictures', 'id': 33}, {'name': 'Epic Productions', 'id': 1988}, {'name': 'Bregman/Baer Productions', 'id': 11393}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",11/10/93,36516012,144,"[{'iso_639_1': 'en', 'name': 'English'}, {'iso_639_1': 'es', 'name': 'Español'}]",Released,He's got a good future if he can live past next week.,Carlito's Way,7.7,805
,0,"[{'id': 37, 'name': 'Western'}, {'id': 28, 'name': 'Action'}, {'id': 35, 'name': 'Comedy'}]",19176,tt0109493,en,"Two championship rodeo partners travel to New York to find their missing friend, Nacho Salazar who went missing there.",4.286279,/dNyAx7mCOz69QtNObLKC2gw9f1p.jpg,"[{'name': 'Imagine Entertainment', 'id': 23}, {'name': 'Universal Pictures', 'id': 33}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",6/3/94,0,102,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,,The Cowboy Way,5.1,38
,0,"[{'id': 18, 'name': 'Drama'}, {'id': 28, 'name': 'Action'}, {'id': 53, 'name': 'Thriller'}]",2087,tt0109890,en,"Doc McCoy is put in prison because his partners chickened out and flew off without him after exchanging a prisoner with a lot of money. Doc knows Jack Benyon, a rich ""business""-man, is up to something big, so he tells his wife (Carol McCoy) to tell him that he's for sale if Benyon can get him out of prison. Benyon pulls some strings and Doc McCoy is released again. Unfortunately he has to cooperate with the same person that got him to prison.",14.214403,/aqASLZpqGK62bmUI1KLvvEIpKNk.jpg,"[{'name': 'Universal Pictures', 'id': 33}, {'name': 'Largo Entertainment', 'id': 1644}]","[{'iso_3166_1': 'JP', 'name': 'Japan'}, {'iso_3166_1': 'US', 'name': 'United States of America'}]",2/11/94,30,115,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,,The Getaway,5.4,81
"{'id': 412680, 'name': 'Hard Target Collection', 'poster_path': '/g7Bc4ik16xOBz21BQOcsxrBL8BO.jpg', 'backdrop_path': '/wcBIwQY888HX1QWpnv43lAujoId.jpg'}",18000000,"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 80, 'name': 'Crime'}, {'id': 53, 'name': 'Thriller'}]",2019,tt0107076,en,"When a woman's father goes missing, she enlist a local to aid in her search.  The pair soon discover that her father has died at the hands of a wealthy sportsman who hunts homeless men as a form of recreation.",7.834351,/6WEu60V7EzncuFJSVmGJzhFvs4I.jpg,"[{'name': 'Universal Pictures', 'id': 33}, {'name': 'Renaissance Pictures', 'id': 467}, {'name': 'Alphaville Films', 'id': 11462}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",8/20/93,74189677,97,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,Don't hunt what you can't kill.,Hard Target,6.1,237
,13000000,"[{'id': 18, 'name': 'Drama'}]",7984,tt0107207,en,"A small time thief from Belfast, Gerry Conlon, is falsely implicated in the IRA bombing of a pub that kills several people while he is in London. He and his four friends are coerced by British police into confessing their guilt. Gerry's father and other relatives in London are also implicated in the crime. He spends fifteen years in prison with his father trying to prove his innocence.",7.405895,/22UfH59UppgMtDIMjD6DxhO8J2C.jpg,"[{'name': 'Universal Pictures', 'id': 33}, {'name': ""Hell's Kitchen Films"", 'id': 2307}]","[{'iso_3166_1': 'GB', 'name': 'United Kingdom'}, {'iso_3166_1': 'IE', 'name': 'Ireland'}]",12/12/93,65796862,133,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,Falsely accused. Wrongly imprisoned. He fought for justice to clear his father's name.,In the Name of the Father,7.6,363
,0,"[{'id': 28, 'name': 'Action'}, {'id': 53, 'name': 'Thriller'}, {'id': 80, 'name': 'Crime'}]",6,tt0107286,en,"While racing to a boxing match, Frank, Mike, John and Rey get more than they bargained for. A wrong turn lands them directly in the path of Fallon, a vicious, wise-cracking drug lord. After accidentally witnessing Fallon murder a disloyal henchman, the four become his unwilling prey in a savage game of cat &amp; mouse as they are mercilessly stalked through the urban jungle in this taut suspense drama",5.538671,/lNXmgUrP6h1nD53gkFh4WDzT6RZ.jpg,"[{'name': 'Universal Pictures', 'id': 33}, {'name': 'Largo Entertainment', 'id': 1644}, {'name': 'JVC Entertainment Networks', 'id': 4248}]","[{'iso_3166_1': 'JP', 'name': 'Japan'}, {'iso_3166_1': 'US', 'name': 'United States of America'}]",10/15/93,12136938,110,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,Don't move. Don't whisper. Don't even breathe.,Judgment Night,6.4,79
"{'id': 328, 'name': 'Jurassic Park Collection', 'poster_path': '/qIm2nHXLpBBdMxi8dvfrnDkBUDh.jpg', 'backdrop_path': '/pJjIH9QN0OkHFV9eue6XfRVnPkr.jpg'}",63000000,"[{'id': 12, 'name': 'Adventure'}, {'id': 878, 'name': 'Science Fiction'}]",329,tt0107290,en,"A wealthy entrepreneur secretly creates a theme park featuring living dinosaurs drawn from prehistoric DNA. Before opening day, he invites a team of experts and his two eager grandchildren to experience the park and help calm anxious investors. However, the park is anything but amusing as the security systems go off-line and the dinosaurs escape.",8.863776,/c414cDeQ9b6qLPLeKmiJuLDUREJ.jpg,"[{'name': 'Universal Pictures', 'id': 33}, {'name': 'Amblin Entertainment', 'id': 56}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",6/11/93,920100000,127,"[{'iso_639_1': 'en', 'name': 'English'}, {'iso_639_1': 'es', 'name': 'Español'}]",Released,An adventure 65 million years in the making.,Jurassic Park,7.6,4956
